Class ID,city,dates,year,month,day,cit,Department/College,Course Level,Course Title,Tour?,TILT?,Date Taught,Session Number,AM/PM,Hour Count,Duplicate?,ACRL,IPED,classes,Building/Room,Distance Class?,Location of Site 1,Site 1 Number of Students,Location of Site 2,Site 2 Number of Students,Location of Site 3,Site 3 Number of Students,Location of Site 4,Site 4 Number of Students,Location of Site 5,Site 5 Number of Students,Location of Site 6,Site 6 Number of Students,Location of Site 7,Site 7 Number of Students,Location of Site 8,Site 8 Number of Students,Location of Site 9,Site 9 Number of Students,Location of Site 10,Site 10 Number of Students
4362,Idaho Falls,24-Feb-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,24-Feb-16,Single Session,PM,1.5,FALSE,21,21,Idaho Falls,CHE 306,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4364,Idaho Falls,24-Feb-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,24-Feb-16,Second Session,PM,1.5,FALSE,0,23,Idaho Falls,CHE 307,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4348,Pocatello,23-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,23-Feb-16,First Session,AM,1.5,FALSE,19,19,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4349,Pocatello,23-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,23-Feb-16,First Session,,1.5,FALSE,15,15,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4350,Pocatello,23-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,23-Feb-16,First Session,PM,1.5,FALSE,15,15,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4351,Pocatello,23-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,23-Feb-16,First Session,PM,1.5,FALSE,13,13,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4345,Pocatello,22-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,22-Feb-16,First Session,AM,1,FALSE,13,13,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4346,Pocatello,22-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,22-Feb-16,First Session,AM,1,FALSE,14,14,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4347,Pocatello,22-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,22-Feb-16,First Session,PM,1,FALSE,15,15,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4363,Idaho Falls,22-Feb-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,22-Feb-16,First Session,PM,1.5,FALSE,23,23,Idaho Falls,CHE 307,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4355,Pocatello,19-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,LLIB 1115,FALSE,FALSE,19-Feb-16,Single Session,AM,1,FALSE,9,9,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4343,Idaho Falls,18-Feb-16,,,,Idaho Falls,College of Arts and Letters,Upper Division,ENGL 3307,FALSE,FALSE,18-Feb-16,Single Session,AM,1.5,FALSE,7,7,Idaho Falls,CHE 305,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4344,Pocatello,18-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1123,FALSE,FALSE,18-Feb-16,Single Session,AM,1.5,FALSE,8,8,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4356,Pocatello,18-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,POLS 1102,FALSE,FALSE,18-Feb-16,Single Session,PM,1.5,FALSE,15,15,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4340,Idaho Falls,17-Feb-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,ENGL 1110,FALSE,FALSE,17-Feb-16,Single Session,AM,1.5,FALSE,18,18,Idaho Falls,CHE 214,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4341,Pocatello,17-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1123,FALSE,FALSE,17-Feb-16,Single Session,AM,1,FALSE,11,11,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
