Class ID,city,dates,year,month,day,cit,Department/College,Course Level,Course Title,Tour?,TILT?,Date Taught,Session Number,AM/PM,Hour Count,Duplicate?,ACRL,IPED,classes,Building/Room,Distance Class?,Location of Site 1,Site 1 Number of Students,Location of Site 2,Site 2 Number of Students,Location of Site 3,Site 3 Number of Students,Location of Site 4,Site 4 Number of Students,Location of Site 5,Site 5 Number of Students,Location of Site 6,Site 6 Number of Students,Location of Site 7,Site 7 Number of Students,Location of Site 8,Site 8 Number of Students,Location of Site 9,Site 9 Number of Students,Location of Site 10,Site 10 Number of Students
4419,Pocatello,06-Apr-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,06-Apr-16,Second Session,AM,1,TRUE,0,21,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4393,Idaho Falls,05-Apr-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,05-Apr-16,First Session,AM,1.5,FALSE,22,22,Idaho Falls,CHE 306,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4392,Pocatello,04-Apr-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,04-Apr-16,Third Session,AM,1,FALSE,0,13,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4394,Pocatello,04-Apr-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,04-Apr-16,First Session,AM,1,FALSE,21,21,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4406,Idaho Falls,04-Apr-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,04-Apr-16,First Session,PM,1.5,FALSE,23,23,Idaho Falls,CHE 308,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4420,Pocatello,04-Apr-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,04-Apr-16,First Session,AM,1,TRUE,21,21,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4390,Pocatello,01-Apr-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,01-Apr-16,Second Session,AM,1,FALSE,0,9,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4391,Pocatello,01-Apr-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,01-Apr-16,Single Session,PM,1,FALSE,11,11,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4389,Pocatello,30-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,TRUE,FALSE,30-Mar-16,First Session,AM,1,FALSE,9,9,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4388,Pocatello,29-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,TRUE,FALSE,29-Mar-16,Single Session,AM,1.5,FALSE,20,20,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
