C:\Users_Data\porat\Efrat\2017_Feb_11 Xp_Pv mid log colony starter 17_1_2017\17starter  Xp+ 1_5hr Syber CM-EDF_11_26 Oct.daf
focused & single

Object Number	Length_Component(1, Area, Object(M01, BF, Tight), Descending)
2	21.6666666666667
3	11.3333333333333
4	9.33333333333333
5	12
6	13
7	13
8	15.3333333333333
9	11.6666666666667
11	7
13	10
14	18.3333333333333
15	8.66666666666667
16	10.3333333333333
17	15
18	18
20	11.6666666666667
21	16.3333333333333
23	11
24	12
27	22.3333333333333
29	14.3333333333333
30	27.3333333333333
31	12.3333333333333
32	10.3333333333333
33	10.3333333333333
34	15
35	16.3333333333333
36	17.6666666666667
37	15
39	4.33333333333333
41	20
42	14.3333333333333
44	20
45	16.3333333333333
46	8.66666666666667
47	9.33333333333333
48	30
51	8.33333333333333
52	12.3333333333333
53	10.3333333333333
54	9.66666666666667
55	21
56	22.6666666666667
57	15.3333333333333
58	13.6666666666667
59	9
60	8
61	7.33333333333333
62	4.33333333333333
63	11.6666666666667
64	12.6666666666667
66	8.66666666666667
67	10.6666666666667
68	3
69	9.33333333333333
71	11
72	10
73	17.3333333333333
75	14
76	11.6666666666667
77	11.6666666666667
78	35
79	15
80	13
81	14
82	15.3333333333333
84	18.6666666666667
85	10.6666666666667
86	9
89	15.3333333333333
90	16.3333333333333
91	13
92	11
93	14.6666666666667
94	7.33333333333333
96	12
97	3
98	13.3333333333333
99	8.33333333333333
100	16.6666666666667
102	14.3333333333333
103	12
104	10
105	8
106	14.6666666666667
107	12
108	9.33333333333333
109	11
110	2.33333333333333
111	21
112	7
113	15.3333333333333
114	12
115	15
116	16.6666666666667
117	13.3333333333333
118	12.6666666666667
121	15
124	19
127	15.6666666666667
128	10
129	5.66666666666667
130	23.3333333333333
131	4.66666666666667
132	29.6666666666667
133	4
134	10.3333333333333
135	16.3333333333333
136	19.6666666666667
139	17.3333333333333
140	11
143	19
145	12.6666666666667
146	9
147	7
148	11.6666666666667
149	18.3333333333333
151	8.66666666666667
152	11.6666666666667
153	12.6666666666667
154	13.3333333333333
155	20
156	13
157	13
160	12.3333333333333
161	14.3333333333333
163	14.6666666666667
164	15.6666666666667
167	12.3333333333333
168	6
169	9
170	9
171	11
173	12.3333333333333
174	13.6666666666667
176	9.66666666666667
177	20
178	5.33333333333333
180	15
181	3.33333333333333
182	25
184	16.3333333333333
186	10
187	13.3333333333333
189	12.3333333333333
190	13
192	15.6666666666667
193	18
194	11.6666666666667
195	15.6666666666667
196	10
197	8.66666666666667
198	10.3333333333333
201	10.3333333333333
202	10.3333333333333
203	12.6666666666667
204	10
205	11
206	13.3333333333333
207	9
208	18
209	13
210	16.6666666666667
212	11.3333333333333
214	10.6666666666667
215	9.66666666666667
217	8.33333333333333
218	16.3333333333333
219	18
220	14.3333333333333
221	16
222	17
223	10
225	13.3333333333333
226	2.66666666666667
227	12
228	9.66666666666667
229	22.6666666666667
230	11
231	3
232	18
233	12.6666666666667
234	20.6666666666667
236	10.6666666666667
237	11.3333333333333
240	13
241	16
242	9.33333333333333
243	11
245	7
247	15.3333333333333
248	10.6666666666667
249	10
250	13.6666666666667
251	10
252	15.6666666666667
253	12.3333333333333
254	17.6666666666667
256	16.3333333333333
258	9
259	12.3333333333333
261	7.66666666666667
263	10
264	9.66666666666667
265	11.6666666666667
266	10.3333333333333
267	4.33333333333333
268	10
269	11
270	2.66666666666667
271	28.3333333333333
272	9
273	11
274	21.6666666666667
275	9.66666666666667
276	15
278	13
279	11
280	18.3333333333333
281	12.6666666666667
282	12.6666666666667
283	23.6666666666667
284	5.33333333333333
285	12
286	9
288	16.6666666666667
290	8.66666666666667
291	29
292	10.6666666666667
293	9
294	10.3333333333333
295	2.66666666666667
296	21.6666666666667
297	1.66666666666667
299	11
300	11
301	13
302	17
305	10
306	9.33333333333333
307	8
308	4
309	23.3333333333333
310	8
312	20
313	12
314	10
315	26.6666666666667
316	4
318	9.66666666666667
319	9
320	8.66666666666667
321	9.66666666666667
322	11.3333333333333
327	22
328	9.66666666666667
331	11
333	7
334	18.3333333333333
336	5.33333333333333
337	11.6666666666667
338	17.3333333333333
339	12.6666666666667
340	25.6666666666667
341	15
342	13.6666666666667
343	12.3333333333333
344	3
345	11.3333333333333
346	14
347	10.6666666666667
348	12
350	14.3333333333333
351	16.3333333333333
352	10
353	6.33333333333333
354	13.6666666666667
355	12.3333333333333
356	10
357	8
358	14
359	29.3333333333333
360	8.66666666666667
361	2.66666666666667
362	10
363	10
364	12.3333333333333
365	24
366	9.33333333333333
367	14.3333333333333
368	10.3333333333333
370	13
371	11.6666666666667
372	9
373	17
374	10.3333333333333
376	5.33333333333333
377	16.6666666666667
378	9
380	14.3333333333333
381	3.66666666666667
382	13.6666666666667
