C:\Users_Data\porat\Efrat\2017_Feb_11 Xp_Pv mid log colony starter 17_1_2017\17starter  Xp+ 0_5hr Syber CM-EDF_13_26 Oct.daf
focused & single

Object Number	Length_Component(1, Area, Object(M01, BF, Tight), Descending)
0	13
1	4
2	10
3	26.3333333333333
4	15.6666666666667
5	16.3333333333333
7	8.66666666666667
8	9
9	13
10	9
12	9
14	9.66666666666667
15	3
17	5.33333333333333
18	9.66666666666667
19	9.33333333333333
20	16.3333333333333
21	6.66666666666667
25	13
26	9.33333333333333
27	7.66666666666667
28	9.33333333333333
29	12.6666666666667
31	30
32	14.3333333333333
33	6.33333333333333
35	8.33333333333333
36	10
37	12.6666666666667
39	13
43	10
44	5.33333333333333
45	9.66666666666667
46	18.3333333333333
48	8.33333333333333
49	6.66666666666667
50	11
51	8.66666666666667
52	13.3333333333333
53	7
54	10.6666666666667
55	9.66666666666667
57	16.6666666666667
58	15.6666666666667
59	10.6666666666667
60	3
62	26.3333333333333
63	11.6666666666667
66	7.66666666666667
69	9
70	9.33333333333333
71	8.33333333333333
73	9
74	7.33333333333333
75	8.33333333333333
77	4
79	12.3333333333333
80	6.33333333333333
82	24.6666666666667
83	10
87	12.6666666666667
88	7.66666666666667
89	6.33333333333333
90	11.6666666666667
91	7.66666666666667
92	8
93	7.66666666666667
94	11.3333333333333
95	9.33333333333333
96	16
97	7.33333333333333
98	10.3333333333333
99	29.6666666666667
102	4.66666666666667
103	11
104	3.33333333333333
105	6
106	13
107	11
108	8
109	9
110	8
111	5.66666666666667
112	12
116	12.6666666666667
118	7.66666666666667
120	9
121	16
122	6.66666666666667
125	12.3333333333333
127	10.3333333333333
128	9.66666666666667
129	24.6666666666667
130	10.6666666666667
131	6.33333333333333
132	8.66666666666667
133	9
135	7
136	8.66666666666667
137	10.3333333333333
138	10
140	9.33333333333333
142	20.6666666666667
143	13
145	12.3333333333333
146	11
147	11
148	4
149	12.3333333333333
150	12
151	9.66666666666667
153	13
154	11.3333333333333
155	6
158	10.3333333333333
159	5.66666666666667
160	8
161	11.3333333333333
162	9.66666666666667
163	10.6666666666667
164	8
165	11.3333333333333
166	8
168	19.3333333333333
169	63.6666666666667
170	8.33333333333333
171	8.33333333333333
172	19
174	12.3333333333333
175	29.3333333333333
176	5
181	11.6666666666667
182	10
185	10.3333333333333
186	6.33333333333333
187	5.33333333333333
188	7
189	3.33333333333333
190	7.33333333333333
191	10
192	8.66666666666667
193	13.6666666666667
194	8.33333333333333
195	8
197	11.3333333333333
198	8.66666666666667
200	13.3333333333333
201	5.33333333333333
202	7.33333333333333
203	13
204	20.3333333333333
205	7.33333333333333
206	15.6666666666667
207	11
208	9
209	5
210	14.6666666666667
212	9.66666666666667
213	12.6666666666667
214	5.33333333333333
215	11
217	15.6666666666667
219	11
220	7
221	9.33333333333333
223	7.66666666666667
226	9
227	10.6666666666667
230	10.6666666666667
232	10.6666666666667
233	7.66666666666667
234	6.66666666666667
235	9.33333333333333
236	13
237	8.66666666666667
238	13.6666666666667
239	5.33333333333333
240	9.33333333333333
241	10.3333333333333
242	8.33333333333333
243	7.33333333333333
244	13
245	9.33333333333333
246	9
248	21
249	5
251	8.66666666666667
252	5.33333333333333
253	18.6666666666667
254	9
255	9.33333333333333
256	8.33333333333333
257	7.66666666666667
259	20.6666666666667
260	9
261	12
262	9.66666666666667
263	22.3333333333333
264	21.3333333333333
265	9.66666666666667
266	9.33333333333333
267	11.3333333333333
268	6.33333333333333
269	6.33333333333333
270	5.66666666666667
271	11.6666666666667
272	10.3333333333333
274	17
275	8
277	7
278	8
280	21.3333333333333
281	4.33333333333333
283	7.33333333333333
284	16
285	8.66666666666667
286	14.6666666666667
288	6.66666666666667
290	12.3333333333333
293	10
294	13.3333333333333
295	14
296	10.3333333333333
297	9.66666666666667
298	11.3333333333333
299	16
302	13.6666666666667
303	5.33333333333333
304	5.66666666666667
305	11.3333333333333
306	7.33333333333333
307	6
313	13
315	8.66666666666667
316	2.66666666666667
317	13.6666666666667
320	13
321	12
323	9.33333333333333
324	7.66666666666667
325	9.33333333333333
326	12
327	12
328	6.66666666666667
331	12.6666666666667
332	14.3333333333333
333	15
334	11.6666666666667
335	11
336	7
337	42.3333333333333
338	9.66666666666667
339	10
342	5.66666666666667
344	7
346	10
347	14.6666666666667
348	15.3333333333333
349	18.3333333333333
350	10.3333333333333
352	11.6666666666667
353	13.3333333333333
354	3.66666666666667
355	12.3333333333333
356	11.6666666666667
357	7.66666666666667
358	7
359	13
360	7.66666666666667
361	9.33333333333333
362	7.33333333333333
363	15
365	16
366	9
367	7
368	5.66666666666667
370	15.3333333333333
373	7.66666666666667
374	26
375	6.33333333333333
376	17
377	8.66666666666667
378	13.6666666666667
379	6
382	5.33333333333333
383	9
384	10.3333333333333
385	4
386	8.33333333333333
387	8.66666666666667
388	25.3333333333333
389	6.33333333333333
390	7.33333333333333
391	19.3333333333333
392	17
393	7.33333333333333
394	8.33333333333333
396	1.66666666666667
398	8.66666666666667
399	7
401	9.33333333333333
402	8.33333333333333
405	10.3333333333333
406	14
408	4.66666666666667
409	7.33333333333333
410	9.33333333333333
412	2.66666666666667
413	8.66666666666667
414	10
416	14
417	11.6666666666667
418	10.6666666666667
420	9
421	9
422	11.6666666666667
424	10.3333333333333
425	15.6666666666667
427	12
428	8.33333333333333
429	27.3333333333333
430	8.33333333333333
432	12
433	6
434	9.33333333333333
435	7.33333333333333
436	7.33333333333333
437	8
438	2.66666666666667
440	9
441	14
442	9.33333333333333
443	10
444	10
445	8.66666666666667
446	13
447	4
449	3
450	8.66666666666667
451	9
452	28.6666666666667
453	12.6666666666667
456	12
457	11.6666666666667
459	12
463	9
464	6.66666666666667
465	19.3333333333333
466	7.66666666666667
467	8.33333333333333
468	9
469	26.6666666666667
470	15
471	13.3333333333333
473	7.33333333333333
474	19
476	12
477	25
479	34.6666666666667
481	26
482	15
483	8
484	9.66666666666667
485	5
487	10
490	11.6666666666667
491	14
492	7
493	9
494	11.3333333333333
496	10.6666666666667
497	8.33333333333333
498	14
499	16
500	7.66666666666667
501	7
502	6.33333333333333
504	5.66666666666667
505	6.33333333333333
506	12
507	9
510	9.66666666666667
