C:\Users_Data\porat\Efrat\2017_Feb_11 Xp_Pv mid log colony starter 17_1_2017\17starter  C 1_5hr Syber CM-EDF_12_26 Oct.daf
focused & single

Object Number	Length_Component(1, Area, Object(M01, BF, Tight), Descending)
0	9.33333333333333
1	16.6666666666667
3	11
4	30.3333333333333
5	16.3333333333333
6	17.3333333333333
7	14
8	12.6666666666667
9	20.3333333333333
11	5.33333333333333
12	11.6666666666667
13	7.33333333333333
14	14.3333333333333
15	5
16	13
18	9
20	15
21	16
22	14
23	26.6666666666667
24	10.6666666666667
27	17
29	13.3333333333333
31	13
32	10
33	7.33333333333333
34	14.6666666666667
36	10
37	15.3333333333333
38	4
39	10.6666666666667
40	13
41	12
42	11.6666666666667
43	7.66666666666667
44	10.3333333333333
45	9
46	17.3333333333333
47	8.66666666666667
48	7.66666666666667
49	9
50	12.6666666666667
51	17
52	12.6666666666667
54	7.66666666666667
55	7
56	13.6666666666667
57	20
58	12.6666666666667
59	15.3333333333333
60	8.66666666666667
61	14
62	16
63	16
64	12
65	12.6666666666667
67	8.66666666666667
68	11.6666666666667
70	16.3333333333333
71	9
72	18
73	20
74	13.3333333333333
76	8.33333333333333
77	4
78	7.66666666666667
79	14.3333333333333
80	10
81	15.3333333333333
82	12.6666666666667
83	8.33333333333333
85	16
86	10.6666666666667
87	16
88	9.33333333333333
91	13
92	9
93	11.3333333333333
94	14.3333333333333
95	17.6666666666667
96	13
97	19
98	11
99	9.33333333333333
100	10
101	22
102	11.3333333333333
103	13
104	6
105	14
106	11.6666666666667
108	8
109	10.3333333333333
110	13.6666666666667
111	10.6666666666667
112	10.6666666666667
113	13.3333333333333
114	30
115	14.3333333333333
116	8.66666666666667
117	10.6666666666667
118	15.6666666666667
119	2.66666666666667
120	8.66666666666667
121	17.3333333333333
122	12.6666666666667
123	15
124	11.6666666666667
125	19
126	14.3333333333333
128	12.6666666666667
129	31.3333333333333
130	9.66666666666667
131	4.33333333333333
132	16
133	15.3333333333333
134	9
135	12.3333333333333
136	14.6666666666667
137	6.33333333333333
138	21.6666666666667
139	9
140	12.3333333333333
141	7.66666666666667
142	12.3333333333333
143	15.3333333333333
144	5
145	11.3333333333333
146	6.33333333333333
147	8.33333333333333
148	12
149	9.33333333333333
150	8.66666666666667
151	13.6666666666667
152	10.6666666666667
153	12
154	9.33333333333333
156	15.6666666666667
157	11
158	15
159	46
160	18.6666666666667
161	2.33333333333333
162	3.66666666666667
164	9
165	19.6666666666667
166	10
167	12
168	7.33333333333333
169	13.3333333333333
170	9.66666666666667
171	4
172	12
173	17.3333333333333
174	16.3333333333333
175	5.33333333333333
176	10.3333333333333
177	9
178	11.3333333333333
180	11.3333333333333
181	19
182	15.6666666666667
183	14.3333333333333
184	16.6666666666667
185	5.33333333333333
186	10.6666666666667
187	6.66666666666667
188	19
189	9
192	9
193	11
196	10.6666666666667
197	5.66666666666667
198	12.3333333333333
199	17
