Date,Open,High,Low,Close,Adj Close,Volume
2015-04-20,91.818993,92.159500,91.487457,91.612900,75.597588,1378800
2015-04-21,93.458778,93.781364,93.172043,93.252686,76.950722,1720800
2015-04-22,92.634407,93.010750,92.446236,92.697136,76.492279,1589700
2015-04-23,94.175629,94.820786,93.288528,94.534050,78.008080,1879900
2015-04-24,93.664871,93.888885,93.145164,93.440857,77.105988,916200
2015-04-27,94.077065,94.534050,93.064514,93.109322,76.832413,1589100
2015-04-28,92.661293,93.637993,92.204300,93.145164,76.861992,1311300
2015-04-29,92.697136,94.059143,91.935486,92.060928,75.967293,1939000
2015-04-30,91.783157,92.455200,91.075272,91.218636,75.272247,1452900
2015-05-01,91.478493,92.741936,91.478493,92.607529,76.418335,1121600
2015-05-04,92.535843,92.956985,92.401436,92.840500,76.610588,1457700
2015-05-05,93.378136,93.431900,91.424728,91.550179,75.545837,1454700
2015-05-06,91.451614,92.123657,90.707886,91.066307,75.146545,1403800
2015-05-07,91.200714,91.514336,90.887100,91.012543,75.102180,1247200
2015-05-08,92.016129,92.741936,92.007172,92.222221,76.100395,1003800
2015-05-11,91.317207,92.293907,91.299286,91.774193,75.730690,1083500
2015-05-12,91.603943,92.078850,91.344086,91.756271,75.715897,1261400
2015-05-13,92.177422,92.571686,91.899643,91.998207,75.915535,1053200
2015-05-14,93.333336,93.378136,92.724014,93.100357,76.825027,1086200
2015-05-15,92.526878,93.145164,92.267029,92.965950,76.714096,1285100
2015-05-18,93.512543,93.682793,92.974907,93.243729,76.943321,1251400
2015-05-19,93.100357,93.440857,92.930107,93.010750,76.751076,841100
2015-05-20,92.455200,92.983871,92.338707,92.741936,76.529251,1098700
2015-05-21,93.637993,94.175629,93.413979,93.897850,77.483093,1577400
2015-05-22,93.145164,93.691757,93.019714,93.055557,76.788048,688600
2015-05-26,92.383514,92.401436,91.191757,91.227600,75.279648,1276800
2015-05-27,92.141579,92.939072,92.069893,92.768814,76.551430,891700
2015-05-28,93.082436,93.485664,92.741936,93.413979,77.083817,739100
2015-05-29,93.270607,93.691757,91.630821,92.051971,75.959908,2398300
2015-06-01,93.037636,93.118279,92.096771,92.544800,76.366577,1089300
2015-06-02,92.374550,92.625450,92.060928,92.240143,76.115173,929600
2015-06-03,92.939072,93.530464,92.786736,92.912186,76.669746,958000
2015-06-04,92.392471,93.091400,91.926521,92.338707,76.196510,961600
2015-06-05,90.340500,91.102150,90.188171,90.913979,75.020851,1465800
2015-06-08,90.779572,91.129036,90.492828,90.896057,75.006058,1075900
2015-06-09,90.062721,90.376343,89.784943,90.089607,74.340584,1128200
2015-06-10,91.487457,92.195343,91.093193,91.962364,75.885963,1381300
2015-06-11,92.114693,92.275986,91.406807,92.078850,75.982079,914500
2015-06-12,91.487457,91.586021,90.958778,91.236557,75.287041,836300
2015-06-15,88.906807,89.856628,88.745522,89.704300,74.022636,1606900
2015-06-16,90.779572,91.012543,90.241936,90.689964,74.835991,1452300
2015-06-17,90.331543,90.761650,90.026878,90.591400,74.754662,1144500
2015-06-18,90.232971,91.406807,90.197136,91.003586,75.094795,1487400
2015-06-19,90.483871,90.564514,89.444443,89.775986,74.081795,2923300
2015-06-22,91.245522,91.971329,91.057350,91.505379,75.508865,1426400
2015-06-23,91.998207,92.383514,91.890678,92.096771,75.996872,1114900
2015-06-24,90.896057,91.863800,90.896057,91.066307,75.146545,992300
2015-06-25,90.797493,91.129036,90.224014,90.340500,74.547615,1106400
2015-06-26,90.053764,90.349464,89.301079,89.534050,73.882149,1686600
2015-06-29,89.363800,89.551971,88.207886,88.288528,72.854370,1858100
2015-06-30,89.130821,89.130821,87.679214,88.118279,72.713875,6232100
2015-07-01,88.172043,88.960571,88.010750,88.279572,72.846977,7333700
2015-07-02,89.453407,89.578850,89.032257,89.426521,73.793427,4186000
2015-07-06,87.392471,88.691757,87.311829,88.369179,72.920929,2187600
2015-07-07,88.396057,88.996414,87.267029,88.862007,73.327599,2817700
2015-07-08,89.086021,89.399643,88.485664,88.736557,73.224075,1854400
2015-07-09,90.510750,90.824371,89.596771,89.623657,73.956093,1858300
2015-07-10,93.073479,93.145164,92.284943,92.491043,76.322212,2766800
2015-07-13,93.709679,93.772400,92.965950,93.288528,76.980293,2596000
2015-07-14,94.220428,94.973122,94.032257,94.910393,78.318634,2045500
2015-07-15,94.220428,94.283157,93.207886,93.422935,77.091194,2338400
2015-07-16,94.596771,95.071686,94.471329,94.820786,78.244690,1859900
2015-07-17,94.229393,94.811829,94.193550,94.811829,78.237297,1387400
2015-07-20,95.636200,95.734764,94.704300,95.089607,78.466515,2486400
2015-07-21,95.636200,95.636200,92.186378,92.930107,76.684532,3485900
2015-07-22,92.034050,92.105736,90.501793,90.770607,74.902542,3401400
2015-07-23,92.840500,92.840500,91.998207,92.338707,76.196510,2910900
2015-07-24,92.562721,92.661293,91.021507,91.218636,75.272247,1452100
2015-07-27,91.827957,91.845879,90.770607,90.985664,75.080002,1890300
2015-07-28,91.594978,92.123657,91.164871,92.105736,76.004265,1554800
2015-07-29,92.822578,93.172043,92.724014,92.912186,76.669746,1665500
2015-07-30,92.347672,92.616486,91.711472,92.455200,76.292641,1092000
2015-07-31,93.637993,93.862007,92.840500,92.965950,76.714096,1648400
2015-08-03,93.611115,93.646950,92.840500,93.512543,77.165146,2146900
2015-08-04,93.342293,93.440857,92.580643,92.804657,76.581009,2330000
2015-08-05,92.177422,92.876343,92.141579,92.517921,76.344406,2302400
2015-08-06,92.580643,92.706093,91.460571,91.693550,75.664131,1483100
2015-08-07,91.173836,91.648743,90.779572,91.586021,75.575409,1236100
2015-08-10,91.568100,92.508957,91.559143,92.293907,76.159538,836700
2015-08-11,92.329750,92.401436,91.209679,91.487457,75.494080,1274100
2015-08-12,91.111115,91.577065,90.250893,91.442650,75.457092,1508600
2015-08-13,91.541222,91.801079,91.200714,91.532257,75.531044,1119000
2015-08-14,91.810036,91.935486,91.424728,91.827957,75.775055,1124800
2015-08-17,91.872757,92.643372,91.442650,92.553764,76.373978,1153600
