Date,Open,High,Low,Close,Adj Close,Volume
2015-04-30,59.790001,60.139999,59.240002,59.560001,51.159603,13012400
2015-05-01,59.759998,60.380001,59.680000,59.860001,51.417282,9357500
2015-05-04,60.139999,60.950001,60.029999,60.639999,52.087273,9050400
2015-05-05,60.320000,60.700001,60.060001,60.490002,51.958431,12082100
2015-05-06,60.450001,60.590000,59.930000,60.259998,51.760860,11570900
2015-05-07,60.049999,60.730000,59.930000,60.299999,51.795227,9001000
2015-05-08,61.000000,61.380001,60.700001,60.740002,52.173176,10143400
2015-05-11,60.660000,60.689999,59.840000,60.000000,51.537544,9718900
2015-05-12,59.549999,59.730000,59.110001,59.439999,51.056522,13191900
2015-05-13,59.619999,59.849998,58.970001,59.180000,50.833187,7320900
2015-05-14,59.470001,59.889999,59.049999,59.779999,51.348568,7127300
2015-05-15,59.939999,60.230000,59.810001,60.230000,51.735096,7665700
2015-05-18,60.169998,60.450001,60.009998,60.009998,51.546131,7190400
2015-05-19,59.959999,60.919998,59.939999,60.520000,51.984196,8128700
2015-05-20,60.669998,60.849998,60.439999,60.459999,51.932667,6034900
2015-05-21,60.549999,60.790001,60.090000,60.099998,51.623428,8039000
2015-05-22,60.070000,60.070000,59.340000,59.380001,51.004986,8990400
2015-05-26,59.279999,59.439999,58.849998,58.970001,50.652809,10857700
2015-05-27,59.090000,59.779999,58.869999,59.459999,51.073711,9726700
2015-05-28,59.450001,59.849998,59.380001,59.700001,51.279854,9530100
2015-05-29,59.880001,61.119999,59.470001,60.889999,52.302017,20015600
2015-06-01,60.849998,61.700001,60.340000,60.750000,52.181759,11807400
2015-06-02,60.450001,60.459999,59.820000,60.240002,51.743690,8993000
2015-06-03,60.660000,60.880001,60.259998,60.389999,51.872540,8662400
2015-06-04,59.959999,60.209999,59.270000,59.470001,51.082298,10830300
2015-06-05,59.360001,59.410000,58.799999,58.990002,50.669991,10881800
2015-06-08,58.889999,59.169998,58.759998,58.869999,50.566925,8047800
2015-06-09,58.959999,59.290001,58.709999,58.840000,50.541149,6445200
2015-06-10,58.980000,59.660000,58.910000,59.610001,51.202541,10223200
2015-06-11,59.200001,59.369999,58.840000,58.910000,50.986172,11640300
2015-06-12,58.790001,58.799999,57.790001,57.869999,50.086056,15812300
2015-06-15,57.599998,57.639999,57.020000,57.119999,49.436935,10106500
2015-06-16,57.240002,57.730000,56.880001,57.709999,49.947594,6968900
2015-06-17,57.709999,58.169998,57.470001,57.910000,50.120678,7917300
2015-06-18,57.910000,58.869999,57.910000,58.590000,50.709213,7440500
2015-06-19,58.410000,58.840000,57.950001,58.040001,50.233192,12613500
2015-06-22,58.790001,59.200001,58.430000,58.830002,50.916931,8362500
2015-06-23,58.880001,59.049999,58.520000,59.029999,51.090027,8371000
2015-06-24,58.919998,59.029999,58.240002,58.240002,50.406296,7908400
2015-06-25,58.250000,58.599998,57.720001,57.900002,50.112026,9951200
2015-06-26,58.220001,58.529999,57.849998,58.490002,50.622665,13083700
2015-06-29,57.930000,58.220001,57.250000,57.290001,49.584072,9601200
2015-06-30,57.709999,57.709999,56.709999,56.930000,49.272491,11847300
2015-07-01,56.930000,57.869999,56.610001,57.599998,49.852379,9380100
2015-07-02,57.939999,58.330002,57.500000,57.669998,49.912956,8518400
2015-07-06,57.240002,57.840000,56.639999,57.549999,49.809101,8054100
2015-07-07,57.750000,58.099998,57.180000,57.990002,50.189922,9034300
2015-07-08,57.730000,57.740002,57.119999,57.349998,49.636002,9111600
2015-07-09,58.040001,58.169998,57.349998,57.380001,49.661972,8677800
2015-07-10,58.070000,58.250000,57.580002,57.950001,50.155293,8047400
2015-07-13,58.250000,58.549999,57.680000,57.869999,50.086056,9133800
2015-07-14,57.900002,58.279999,57.680000,58.189999,50.363014,7235100
2015-07-15,58.160000,58.560001,58.070000,58.220001,50.388992,5748600
2015-07-16,58.509998,58.869999,58.349998,58.820000,50.908272,5324700
2015-07-17,58.700001,58.919998,58.590000,58.820000,50.908272,6988900
2015-07-20,58.959999,59.200001,58.860001,59.000000,51.064064,5697200
2015-07-21,58.990002,59.020000,58.650002,58.669998,50.778458,6932800
2015-07-22,58.509998,59.029999,58.009998,58.130001,50.311089,8617800
2015-07-23,58.529999,58.529999,57.939999,58.070000,50.259155,6441600
2015-07-24,57.709999,57.880001,57.320000,57.410000,49.687935,7847100
2015-07-27,57.430000,57.450001,56.630001,56.990002,49.324425,14887000
2015-07-28,56.520000,57.639999,55.830002,57.520000,49.783127,16387100
2015-07-29,57.689999,58.820000,57.639999,58.540001,50.665936,12876000
2015-07-30,58.619999,58.820000,58.279999,58.520000,50.648636,6989500
2015-07-31,59.000000,59.330002,58.700001,58.959999,51.029446,8752500
2015-08-03,59.299999,59.450001,58.480000,59.049999,51.107346,6807000
2015-08-04,59.439999,59.470001,58.369999,58.700001,50.804417,6935800
2015-08-05,59.080002,59.279999,58.770000,59.099998,51.150616,5702600
2015-08-06,59.160000,59.250000,58.320000,58.430000,50.570736,7019700
2015-08-07,58.349998,58.450001,57.669998,57.970001,50.172607,9712400
2015-08-10,58.259998,58.610001,58.259998,58.410000,50.553421,5052400
2015-08-11,57.930000,58.189999,57.560001,57.759998,49.990852,7078300
2015-08-12,57.279999,58.279999,57.119999,58.259998,50.423599,7525300
2015-08-13,58.549999,59.450001,58.500000,58.980000,51.046753,10957200
2015-08-14,59.009998,59.570000,58.869999,59.180000,51.219856,9466400
2015-08-17,58.799999,59.750000,58.580002,59.709999,51.678555,6113700
2015-08-18,59.669998,59.950001,59.560001,59.660000,51.635292,6797400
2015-08-19,59.320000,60.070000,59.189999,59.660000,51.635292,7986300
2015-08-20,58.290001,58.549999,56.740002,56.950001,49.289803,23694400
2015-08-21,56.590000,57.630001,55.759998,55.770000,48.268528,17632500
2015-08-24,53.070000,54.400002,45.689999,53.990002,46.727947,24838600
2015-08-25,55.389999,55.410000,51.000000,51.169998,44.287254,22849800
2015-08-26,53.400002,54.610001,52.490002,54.419998,47.100105,22891200
2015-08-27,55.279999,55.400002,53.639999,54.950001,47.558815,16135600
2015-08-28,54.779999,55.410000,54.590000,55.369999,47.922325,12797000
2015-08-31,55.119999,55.299999,53.619999,53.849998,46.606777,12917100
2015-09-01,52.660000,53.230000,52.200001,52.529999,45.464325,15747400
2015-09-02,53.169998,53.270000,52.349998,52.980000,45.853794,13130800
2015-09-03,53.270000,53.549999,52.599998,52.650002,45.568188,12149100
2015-09-04,52.099998,52.240002,51.180000,51.590000,44.650768,14491300
2015-09-08,53.009998,53.020000,52.200001,52.689999,45.602802,14961100
2015-09-09,53.209999,53.330002,51.810001,51.930000,44.945034,11116700
2015-09-10,52.020000,53.200001,51.860001,52.720001,45.628777,14065400
2015-09-11,52.209999,52.450001,51.709999,52.090000,45.471645,12090800
2015-09-14,52.119999,52.730000,51.990002,52.340000,45.689884,8791400
2015-09-15,52.779999,53.889999,52.669998,53.549999,46.746140,11792200
2015-09-16,53.509998,53.970001,53.320000,53.869999,47.025486,8681400
2015-09-17,53.849998,54.500000,53.020000,53.959999,47.104053,22799900
2015-09-18,53.680000,53.869999,51.910000,52.130001,45.506561,28997900
2015-09-21,52.439999,52.439999,50.689999,50.980000,44.502682,17243300
2015-09-22,50.549999,51.000000,50.259998,50.740002,44.293171,12795600
2015-09-23,50.740002,51.439999,50.389999,51.029999,44.546329,10055500
2015-09-24,50.529999,50.860001,50.220001,50.590000,44.162228,10508300
2015-09-25,50.919998,51.320000,49.130001,49.599998,43.298016,15322700
2015-09-28,49.299999,49.369999,48.090000,48.419998,42.267941,20150500
2015-09-29,48.580002,49.299999,48.200001,48.650002,42.468723,12802900
2015-09-30,49.400002,49.540001,48.849998,49.389999,43.114693,12679100
2015-10-01,49.349998,49.570000,48.540001,49.369999,43.097237,14408600
2015-10-02,48.790001,50.150002,48.349998,50.139999,43.769405,24287900
2015-10-05,51.070000,51.320000,50.689999,51.230000,44.720901,15881600
2015-10-06,51.389999,51.389999,49.320000,49.799999,43.472599,16493500
2015-10-07,50.459999,51.119999,49.770000,50.950001,44.476486,14508200
2015-10-08,50.660000,51.189999,50.139999,51.020000,44.537594,12542000
2015-10-09,50.990002,51.509998,50.689999,50.950001,44.476486,10921400
2015-10-12,49.709999,50.849998,49.689999,50.709999,44.266987,11653300
2015-10-13,50.779999,50.910000,49.360001,49.470001,43.184525,14905900
2015-10-14,49.590000,50.119999,49.450001,49.540001,43.245636,13731200
2015-10-15,49.669998,51.080002,49.250000,50.720001,44.275711,14037500
2015-10-16,51.299999,51.720001,51.080002,51.480000,44.939148,11092500
2015-10-19,51.330002,51.549999,50.930000,51.400002,44.869312,8441900
2015-10-20,51.389999,51.470001,50.099998,50.389999,43.987629,9944900
2015-10-21,50.750000,50.980000,50.150002,50.590000,44.162228,11269900
2015-10-22,50.820000,52.560001,50.299999,52.009998,45.401806,18449600
2015-10-23,52.349998,53.250000,52.139999,52.880001,46.161266,15703500
2015-10-26,52.650002,53.169998,52.470001,52.910000,46.187454,10975200
2015-10-27,53.759998,54.099998,52.779999,53.470001,46.676308,13956900
2015-10-28,53.990002,55.139999,53.549999,55.099998,48.099201,14710000
2015-10-29,54.959999,55.639999,54.470001,54.869999,47.898434,8907300
2015-10-30,54.790001,55.270000,54.660000,54.660000,47.715111,11017400
2015-11-02,54.689999,55.330002,54.410000,55.110001,48.107937,10559100
2015-11-03,55.080002,55.380001,54.480000,55.110001,48.107937,9216200
2015-11-04,55.470001,55.770000,55.180000,55.529999,48.474571,7749200
2015-11-05,55.459999,55.680000,54.680000,55.049999,48.055557,9046800
2015-11-06,54.790001,54.880001,54.009998,54.610001,47.671459,10723000
2015-11-09,54.029999,54.410000,53.740002,54.240002,47.348476,9140200
2015-11-10,54.380001,54.599998,54.020000,54.430000,47.514332,7462300
2015-11-11,54.810001,55.000000,53.680000,53.720001,46.894543,8544600
2015-11-12,53.590000,53.970001,53.029999,53.029999,46.292210,8577500
2015-11-13,53.459999,53.720001,52.900002,53.029999,46.292210,11394500
2015-11-16,52.189999,53.810001,52.130001,53.700001,46.877079,6907800
2015-11-17,53.709999,54.299999,53.290001,53.709999,46.885818,7126600
2015-11-18,53.860001,54.320000,53.700001,54.230000,47.339748,10811400
2015-11-19,54.439999,54.529999,53.919998,54.279999,47.383392,6839200
2015-11-20,54.610001,54.860001,54.000000,54.099998,47.226261,8933300
2015-11-23,54.080002,54.200001,53.779999,54.009998,47.147690,8688100
2015-11-24,53.560001,53.680000,53.099998,53.480000,46.685036,10507200
2015-11-25,53.619999,53.919998,53.459999,53.720001,46.894543,6078900
2015-11-27,53.360001,54.200001,53.360001,53.959999,47.104053,2981600
2015-11-30,54.040001,54.110001,53.000000,53.009998,46.274746,13363200
2015-12-01,53.770000,54.639999,53.439999,54.570000,47.636536,12996800
2015-12-02,54.660000,54.990002,53.750000,53.820000,46.981834,10099300
2015-12-03,54.070000,54.090000,52.240002,52.590000,45.908115,13595100
2015-12-04,52.869999,53.680000,52.830002,53.639999,46.824707,13687000
2015-12-07,54.020000,54.230000,53.180000,53.680000,46.859634,8696000
2015-12-08,53.570000,54.400002,53.220001,53.470001,46.676308,7573200
2015-12-09,53.279999,53.610001,52.520000,52.820000,46.108894,10357200
2015-12-10,53.020000,53.980000,52.820000,53.689999,46.868351,11451900
2015-12-11,53.000000,53.279999,52.020000,52.150002,45.917427,10397900
2015-12-14,52.150002,52.360001,51.650002,52.200001,45.961452,11999200
2015-12-15,52.480000,53.189999,52.230000,52.900002,46.577801,11585900
2015-12-16,53.419998,54.110001,53.000000,54.020000,47.563938,10014300
2015-12-17,54.110001,54.250000,52.660000,52.660000,46.366478,13517100
2015-12-18,52.150002,52.320000,51.610001,51.639999,45.468376,21101800
2015-12-21,52.150002,52.150002,51.200001,51.869999,45.670891,11636100
2015-12-22,52.009998,52.230000,51.279999,52.099998,45.873394,13196900
2015-12-23,52.380001,53.220001,52.360001,52.980000,46.648228,7127400
2015-12-24,52.790001,53.130001,52.610001,52.849998,46.533764,2980100
2015-12-28,52.790001,53.040001,52.570000,52.840000,46.524963,4836300
2015-12-29,52.970001,53.610001,52.910000,53.340000,46.965214,6608500
2015-12-30,53.340000,53.580002,53.080002,53.250000,46.885960,5560300
2015-12-31,52.799999,53.290001,52.660000,52.820000,46.507355,8292900
2016-01-04,52.009998,52.610001,51.610001,52.480000,46.207989,17174600
2016-01-05,52.790001,53.470001,52.669998,53.150002,46.797924,11075500
2016-01-06,52.509998,52.950001,52.209999,52.419998,46.155151,12465900
2016-01-07,51.520000,52.320000,51.439999,51.959999,45.750141,12720000
2016-01-08,52.509998,52.520000,50.860001,51.080002,44.975307,14156200
2016-01-11,51.250000,51.540001,50.610001,51.250000,45.124989,14367400
2016-01-12,51.509998,52.070000,50.980000,51.759998,45.574032,11321000
2016-01-13,51.910000,52.060001,50.580002,50.660000,44.605499,16546600
2016-01-14,50.669998,52.110001,50.590000,51.799999,45.609253,13568500
2016-01-15,50.500000,51.299999,50.099998,51.139999,45.028133,15490400
2016-01-19,51.599998,51.910000,50.810001,51.340000,45.204227,10929500
2016-01-20,50.290001,51.020000,49.299999,50.549999,44.508648,15920400
2016-01-21,50.779999,51.320000,50.090000,50.919998,44.834423,11927200
2016-01-22,51.439999,51.740002,50.950001,51.349998,45.213036,10812800
2016-01-25,51.349998,51.439999,50.759998,50.919998,44.834423,9280500
2016-01-26,51.049999,51.599998,50.759998,51.450001,45.301090,9017500
2016-01-27,50.660000,51.570000,49.830002,50.369999,44.350155,13119100
2016-01-28,50.330002,50.540001,48.980000,49.200001,43.319996,18126900
2016-01-29,49.799999,50.669998,49.580002,50.669998,44.614307,16922700
2016-02-01,50.389999,50.980000,49.840000,50.750000,44.684742,11431200
2016-02-02,50.270000,50.509998,49.900002,50.410000,44.385372,14899300
2016-02-03,49.619999,50.110001,48.580002,50.049999,44.068398,19568600
2016-02-04,49.700001,49.740002,48.029999,48.590000,42.782894,20609200
2016-02-05,48.599998,49.720001,48.270000,49.380001,43.478474,16883000
2016-02-08,48.930000,49.330002,47.970001,48.830002,42.994209,13345100
2016-02-09,48.689999,49.570000,48.400002,49.160000,43.284771,10649100
2016-02-10,49.509998,50.410000,49.490002,49.529999,43.610550,11036100
2016-02-11,48.810001,49.389999,48.509998,48.849998,43.011818,11088400
2016-02-12,48.980000,49.110001,48.279999,49.029999,43.170303,13598300
2016-02-16,49.400002,49.990002,49.240002,49.779999,43.830669,11416200
2016-02-17,50.000000,50.650002,49.959999,50.599998,44.552673,9323300
2016-02-18,50.599998,50.990002,50.250000,50.320000,44.306133,9612900
2016-02-19,50.250000,50.400002,49.869999,50.119999,44.130043,8964200
2016-02-22,50.279999,50.779999,50.130001,50.770000,44.702351,7770300
2016-02-23,50.560001,50.939999,50.430000,50.540001,44.499840,7899500
2016-02-24,50.160000,50.619999,49.630001,50.560001,44.517452,7572700
2016-02-25,50.560001,51.000000,50.389999,51.000000,44.904861,8693700
2016-02-26,51.049999,51.130001,50.630001,50.639999,44.587887,9251300
2016-02-29,50.520000,50.830002,50.150002,50.209999,44.209282,12888700
2016-03-01,50.389999,51.939999,50.090000,51.750000,45.565235,12105700
2016-03-02,51.630001,52.439999,51.520000,52.270000,46.023090,11974100
2016-03-03,52.180000,52.320000,51.150002,52.099998,45.873394,9808800
2016-03-04,51.849998,52.290001,51.500000,52.080002,45.855793,9085800
2016-03-07,51.840000,52.930000,51.750000,52.639999,46.348869,7466300
2016-03-08,52.360001,52.930000,52.290001,52.450001,46.181576,8269000
2016-03-09,52.580002,52.889999,52.099998,52.360001,46.102333,9150600
2016-03-10,52.689999,53.240002,52.430000,53.040001,46.701061,12267500
2016-03-11,53.020000,53.459999,52.779999,53.200001,47.251743,15532400
2016-03-14,53.150002,53.320000,52.840000,53.080002,47.145153,6532900
2016-03-15,52.480000,52.639999,51.950001,52.419998,46.558945,9060700
2016-03-16,52.310001,52.310001,51.560001,51.939999,46.132614,9981300
2016-03-17,51.930000,51.970001,51.330002,51.529999,45.768459,9578400
2016-03-18,51.740002,52.419998,51.590000,52.250000,46.407955,14424300
2016-03-21,52.330002,52.830002,52.099998,52.799999,46.896465,7647100
2016-03-22,52.580002,53.459999,52.549999,53.029999,47.100746,9302300
2016-03-23,53.599998,53.599998,52.849998,53.080002,47.145153,9947500
2016-03-24,52.790001,53.349998,52.590000,53.070000,47.136276,7566200
2016-03-28,53.119999,53.290001,52.650002,52.830002,46.923107,6046800
2016-03-29,52.910000,53.410000,52.570000,53.320000,47.358326,7376700
2016-03-30,53.480000,53.549999,53.110001,53.220001,47.269505,6403900
2016-03-31,53.080002,53.480000,52.759998,52.910000,46.994160,8335000
2016-04-01,52.500000,53.790001,52.439999,53.700001,47.695831,8683100
2016-04-04,53.910000,54.630001,53.750000,54.400002,48.317566,10249600
2016-04-05,54.090000,54.720001,53.990002,54.240002,48.175461,9000800
2016-04-06,54.349998,55.790001,54.259998,55.630001,49.410042,12480400
2016-04-07,55.340000,55.779999,55.049999,55.419998,49.223522,10536800
2016-04-08,55.750000,55.910000,55.099998,55.360001,49.170231,6987400
2016-04-11,55.369999,55.740002,54.980000,55.049999,48.894897,7065600
2016-04-12,54.970001,55.750000,54.939999,55.340000,49.152466,5937000
2016-04-13,55.459999,55.990002,55.270000,55.959999,49.703148,8444500
2016-04-14,56.020000,56.599998,55.939999,56.450001,50.138355,8356700
2016-04-15,56.529999,56.549999,55.880001,56.139999,49.863014,8434400
2016-04-18,56.139999,56.830002,55.919998,56.509998,50.191654,7794200
2016-04-19,56.730000,57.380001,56.220001,56.860001,50.502514,7644200
2016-04-20,57.150002,57.400002,56.439999,56.580002,50.253826,8520900
2016-04-21,56.340000,57.029999,56.310001,56.599998,50.271576,10535300
2016-04-22,56.689999,57.029999,56.509998,56.740002,50.395935,7093500
2016-04-25,56.480000,56.639999,56.000000,56.220001,49.934074,8280200
2016-04-26,56.410000,56.419998,55.869999,56.040001,49.774200,7226600
2016-04-27,56.060001,56.619999,56.060001,56.310001,50.014015,6941400
2016-04-28,55.889999,56.230000,55.549999,55.740002,49.507748,9094700
2016-04-29,55.639999,55.639999,54.560001,54.840000,48.708370,13228000
2016-05-02,54.849998,55.360001,54.700001,55.299999,49.116940,9678900
2016-05-03,55.139999,55.450001,54.849998,55.080002,48.921539,7601200
2016-05-04,54.709999,55.040001,54.470001,54.810001,48.681721,7706000
2016-05-05,54.279999,54.400002,53.340000,54.090000,48.042229,11225200
2016-05-06,53.820000,53.970001,53.060001,53.599998,47.607014,10526300
2016-05-09,53.570000,54.330002,53.509998,54.099998,48.051105,7975400
2016-05-10,54.470001,54.730000,54.389999,54.680000,48.566261,6486200
2016-05-11,54.700001,54.790001,54.259998,54.310001,48.237633,6572900
2016-05-12,54.590000,54.619999,53.930000,54.119999,48.068878,8244300
2016-05-13,54.099998,54.509998,53.830002,53.880001,47.855709,7125200
2016-05-16,53.770000,54.770000,53.590000,54.650002,48.539623,6649100
2016-05-17,54.410000,54.570000,53.980000,54.320000,48.246510,11794000
2016-05-18,54.389999,54.950001,54.169998,54.669998,48.557381,7391200
2016-05-19,54.160000,54.980000,54.080002,54.580002,48.477444,8733900
2016-05-20,54.830002,55.540001,54.630001,55.110001,48.948185,8633100
2016-05-23,55.000000,55.230000,54.779999,54.919998,48.779415,5570300
2016-05-24,55.230000,55.889999,55.180000,55.599998,49.383396,6311200
2016-05-25,55.810001,56.669998,55.770000,56.570000,50.244934,9592200
2016-05-26,56.470001,56.720001,56.340000,56.389999,50.085060,5720500
2016-05-27,56.500000,56.840000,56.230000,56.480000,50.165005,7508800
2016-05-31,56.490002,56.720001,56.080002,56.259998,49.969608,9468500
2016-06-01,56.200001,56.520000,55.950001,56.330002,50.031773,6691000
2016-06-02,56.439999,56.860001,56.360001,56.820000,50.466988,7295500
2016-06-03,56.840000,56.959999,56.279999,56.639999,50.307117,5436900
2016-06-06,56.660000,57.369999,56.650002,57.169998,50.777855,6904000
2016-06-07,57.200001,57.439999,56.919998,57.000000,50.626865,6252400
2016-06-08,56.970001,57.869999,56.970001,57.619999,51.177536,7790100
2016-06-09,57.509998,57.820000,56.930000,57.180000,50.786736,9227700
2016-06-10,56.820000,57.080002,56.570000,56.810001,50.458103,9531700
2016-06-13,56.180000,56.680000,56.090000,56.110001,50.243214,6204800
2016-06-14,55.770000,56.310001,55.619999,56.250000,50.368561,8594200
2016-06-15,56.410000,56.520000,55.950001,56.090000,50.225292,7648800
2016-06-16,56.990002,57.669998,56.130001,57.500000,51.487858,22052200
2016-06-17,57.430000,57.430000,55.700001,55.889999,50.046207,17484400
2016-06-20,56.340000,56.599998,56.119999,56.139999,50.270058,8698700
2016-06-21,56.540001,56.669998,56.240002,56.250000,50.368561,6403000
2016-06-22,56.139999,57.270000,56.099998,57.040001,51.075966,12477500
2016-06-23,57.480000,57.680000,57.110001,57.680000,51.649044,6968400
2016-06-24,56.040001,57.070000,55.770000,55.880001,50.037258,17258600
2016-06-27,55.490002,55.680000,55.099998,55.310001,49.526848,13093300
2016-06-28,55.439999,55.669998,55.110001,55.580002,49.768616,12760100
2016-06-29,56.139999,57.139999,55.980000,57.049999,51.084911,9813800
2016-06-30,57.150002,57.680000,56.910000,57.610001,51.586372,9277700
2016-07-01,57.540001,58.000000,57.419998,57.939999,51.881859,7868300
2016-07-05,57.779999,58.169998,57.779999,58.000000,51.935585,7394100
2016-07-06,58.270000,59.270000,58.070000,59.160000,52.974293,14327700
2016-07-07,58.889999,59.020000,58.290001,58.779999,52.634029,9351900
2016-07-08,58.980000,59.570000,58.799999,59.349998,53.144432,9479400
2016-07-11,59.259998,59.750000,59.200001,59.340000,53.135475,7336700
2016-07-12,59.270000,59.790001,59.080002,59.599998,53.368290,8401300
2016-07-13,59.779999,59.950001,59.480000,59.549999,53.323517,6793200
2016-07-14,59.869999,59.930000,59.480000,59.650002,53.413071,7345500
2016-07-15,59.799999,59.930000,59.250000,59.630001,53.395164,8162700
2016-07-18,59.000000,59.490002,58.720001,59.020000,52.848942,8769200
2016-07-19,59.080002,59.500000,58.560001,58.660000,52.526577,8881300
2016-07-20,59.000000,59.119999,58.759998,58.790001,52.642979,6476000
2016-07-21,59.000000,59.110001,58.560001,58.790001,52.642979,6047100
2016-07-22,58.990002,59.080002,58.549999,58.820000,52.669849,6269500
2016-07-25,58.630001,58.880001,57.980000,58.560001,52.437035,8037200
2016-07-26,58.700001,58.810001,58.139999,58.360001,52.257946,7150800
2016-07-27,58.389999,58.720001,57.930000,58.599998,52.472847,7888800
2016-07-28,58.520000,58.590000,58.110001,58.430000,52.320621,7289700
2016-07-29,59.009998,59.200001,58.270000,58.660000,52.526577,8491200
2016-08-01,58.830002,59.000000,58.500000,58.660000,52.526577,8871200
2016-08-02,58.680000,58.730000,58.250000,58.330002,52.231083,6826300
2016-08-03,58.169998,58.299999,57.180000,57.650002,51.622185,9637300
2016-08-04,57.740002,58.230000,57.740002,57.840000,51.792316,5541400
2016-08-05,57.840000,64.000000,57.840000,63.860001,57.182869,72876000
2016-08-08,62.660000,63.020000,61.950001,62.860001,56.287434,25045900
2016-08-09,62.860001,63.139999,62.430000,62.490002,55.956120,12234400
2016-08-10,62.090000,63.099998,62.070000,62.639999,56.090427,8835400
2016-08-11,62.610001,63.730000,62.480000,63.630001,56.976921,10365000
2016-08-12,63.139999,63.450001,62.930000,63.349998,56.726196,6244300
2016-08-15,63.349998,63.750000,63.209999,63.320000,56.699326,6650100
2016-08-16,63.000000,63.320000,62.840000,63.040001,56.448612,5680100
2016-08-17,63.029999,63.430000,62.599998,63.290001,56.672474,8271500
2016-08-18,63.080002,63.639999,63.080002,63.630001,56.976921,6926600
2016-08-19,63.180000,63.439999,62.869999,63.360001,56.735165,8480000
