var1,var2,r,pvalue,rsq
BACK14,N214,-0.888234788,9.75E-06,0.788961039
BACK15,BACK17,0.784464541,0.000534608,0.615384615
BACK15,back tot,0.769793906,0.000789372,0.592582657
BACK16,back tot,0.756467976,0.001098831,0.572243798
BACK16,bign24,-0.735508743,0.001777863,0.540973111
BACK16,bign24r,0.735508743,0.001777863,0.540973111
BACK16,BACK21,0.719701606,0.002485684,0.517970402
BACK17,BACK15,0.784464541,0.000534608,0.615384615
BACK17,BACK19,0.784464541,0.000534608,0.615384615
BACK18,moca tota,-0.870552645,2.42E-05,0.757861908
BACK18,bign4,0.765531816,0.000879455,0.586038961
BACK18,QL17,0.747017881,0.001372665,0.558035714
BACK18,ql17r,-0.747017881,0.001372665,0.558035714
BACK19,BACK17,0.784464541,0.000534608,0.615384615
BACK19,back tot,0.769793906,0.000789372,0.592582657
BACK2,anxiety10,-0.951104004,5.28E-08,0.904598826
BACK2,anxiety2,-0.823054892,0.000163832,0.677419355
BACK2,QL4,-0.807780696,0.000269824,0.652509653
BACK2,QL21,-0.807780696,0.000269824,0.652509653
BACK2,anxiety tot,-0.776549233,0.000662033,0.603028711
BACK2,anxiety7,-0.732142857,0.001912964,0.536033163
BACK2,MYDH 10,0.707596977,0.003167278,0.500693481
BACK20,driving habites I,0.746611594,0.002157544,0.557428872
BACK21,DHGO 326,-0.811707703,0.000423145,0.658869396
BACK21,DHBS 431,0.767355174,0.001357402,0.588833963
BACK21,DHGO 313,-0.746923515,0.002143244,0.557894737
BACK21,BACK16,0.719701606,0.002485684,0.517970402
BACK4,bigc13,-0.891042111,8.32E-06,0.793956044
BACK4,QL6,-0.765531816,0.000879455,0.586038961
BACK4,bige41r,-0.745386242,0.001425074,0.555600649
BACK4,bige41,0.745386242,0.001425074,0.555600649
BACK5,QL17,0.767425767,0.000838449,0.588942308
BACK5,ql17r,-0.767425767,0.000838449,0.588942308
BACK5,bige21r,0.739940073,0.001611809,0.547511312
BACK5,bige21,-0.739940073,0.001611809,0.547511312
BACK5,bigc13,-0.730769231,0.001970414,0.534023669
biga1,bigo30,0.742415721,0.001524627,0.551181102
biga12,QL6,-0.719771161,0.002482139,0.518070525
biga12r,QL6,0.719771161,0.002482139,0.518070525
biga17,biga32,0.805076486,0.000512876,0.648148148
biga17,MYDH 8,0.712258657,0.002889087,0.507312395
biga22,biga42,0.807638495,0.000271025,0.652279939
biga22,QL8,0.737915161,0.001686064,0.544518785
biga22,bige36,0.709740335,0.003036834,0.503731343
biga32,biga17,0.805076486,0.000512876,0.648148148
biga32,bign39,-0.729866017,0.003043522,0.532704403
biga32,sleep2,-0.715626447,0.004003096,0.512121212
biga42,biga22,0.807638495,0.000271025,0.652279939
biga7,MOCA ATTENTION MATH,0.800640769,0.000580998,0.641025641
biga7,driving habites I,-0.794871795,0.000680272,0.63182117
biga7,driving habites J,-0.785714286,0.000516455,0.617346939
biga7,bige36,0.731925055,0.001921982,0.535714286
bigc13,BACK4,-0.891042111,8.32E-06,0.793956044
bigc13,QL6,0.798271735,0.000360342,0.637237762
bigc13,bige41,-0.753923305,0.00116778,0.56840035
bigc13,bige41r,0.753923305,0.00116778,0.56840035
bigc13,BACK5,-0.730769231,0.001970414,0.534023669
bigc13,bigc38,0.719762573,0.002482577,0.518058161
bigc23,QL14,-0.779117072,0.000618249,0.607023411
bigc23,driving habites H,0.707805158,0.003154416,0.500988142
bigc23r,QL14,0.779117072,0.000618249,0.607023411
bigc23r,driving habites H,-0.707805158,0.003154416,0.500988142
bigc28,bigc38,0.73321322,0.001869137,0.537601626
bigc38,bigc28,0.73321322,0.001869137,0.537601626
bigc38,sleep3,0.7197719,0.002482101,0.518071588
bigc38,bigc13,0.719762573,0.002482577,0.518058161
bigc8,QL21,-0.798291205,0.000360134,0.637268848
bigc8,MYDH 4,0.745601135,0.001418081,0.555921053
bigc8r,QL21,0.798291205,0.000360134,0.637268848
bigc8r,MYDH 4,-0.745601135,0.001418081,0.555921053
bige21,BACK5,-0.739940073,0.001611809,0.547511312
bige21r,BACK5,0.739940073,0.001611809,0.547511312
bige26,MOCA LTM,-0.796029752,0.000659329,0.633663366
bige36,driving habites I,-0.738648819,0.002548923,0.545602077
bige36,MOCA ATTENTION MATH,0.738648819,0.002548923,0.545602077
bige36,biga7,0.731925055,0.001921982,0.535714286
bige36,driving habites J,-0.731925055,0.001921982,0.535714286
bige36,anosmia,0.712128749,0.002896566,0.507127356
bige36,biga22,0.709740335,0.003036834,0.503731343
bige41,MOCA ABSTRACTION,-0.825722824,0.00027477,0.681818182
bige41,bigc13,-0.753923305,0.00116778,0.56840035
bige41,BACK4,0.745386242,0.001425074,0.555600649
bige41r,MOCA ABSTRACTION,0.825722824,0.00027477,0.681818182
bige41r,bigc13,0.753923305,0.00116778,0.56840035
bige41r,BACK4,-0.745386242,0.001425074,0.555600649
bign14,sleep2,0.868390647,2.68E-05,0.754102317
bign14,SLEEP TOT,0.788239741,0.000481302,0.621321889
bign24,DHGO 331,0.739058114,0.00252753,0.546206897
bign24,BACK16,-0.735508743,0.001777863,0.540973111
bign24,DHGO 326,0.715626447,0.004003096,0.512121212
bign24,back tot,-0.70742472,0.003177953,0.500449734
bign24r,DHGO 331,-0.739058114,0.00252753,0.546206897
bign24r,BACK16,0.735508743,0.001777863,0.540973111
bign24r,DHGO 326,-0.715626447,0.004003096,0.512121212
bign24r,back tot,0.70742472,0.003177953,0.500449734
bign39,biga32,-0.729866017,0.003043522,0.532704403
bign4,QL10,-0.765531816,0.000879455,0.586038961
bign4,BACK1,0.765531816,0.000879455,0.586038961
bign4,BACK18,0.765531816,0.000879455,0.586038961
bign4,QL17,0.716337354,0.002662026,0.513139205
bign4,ql17r,-0.716337354,0.002662026,0.513139205
bigo10,QL4,0.735515878,0.002717454,0.540983607
bigo25,QL3,0.785608958,0.000517965,0.617181435
bigo30,biga1,0.742415721,0.001524627,0.551181102
bigo44,DHBS 413,0.836001473,0.000195346,0.698898462
DHBS 404,MYDH 1,0.7781715,0.001046381,0.605550883
DHBS 404,N2217,-0.747501381,0.002116952,0.558758315
DHBS 404,DHBS 414,0.723094637,0.003474109,0.522865854
DHBS 411,MYDH 1,0.738718217,0.002545286,0.545704604
DHBS 411,DHGB111,0.714683472,0.004074145,0.510772465
DHBS 413,bigo44,0.836001473,0.000195346,0.698898462
DHBS 413,TRESHOLD,0.71438307,0.004096985,0.510343171
DHBS 414,QL12,-0.746467635,0.002164168,0.55721393
DHBS 414,ql12r,0.746467635,0.002164168,0.55721393
DHBS 414,DHBS 404,0.723094637,0.003474109,0.522865854
DHBS 415,MOCA ATTENTION MATH,-0.843274043,0.000292865,0.711111111
DHBS 415,driving habites I,0.823815705,0.000535829,0.678672316
DHBS 415,driving habites J,0.820767734,0.000321419,0.673659674
DHBS 417,DHGO 326,0.853491814,0.000103338,0.728448276
DHBS 417,MYDH 1,0.801306899,0.000570329,0.642092747
DHBS 420,driving habites E,0.960382261,5.12E-08,0.922334087
DHBS 420,DHGO 311,-0.872130269,4.76E-05,0.760611205
DHBS 420,DHGB111,0.844162289,0.000146521,0.712609971
DHBS 420,driving habites F,0.823735365,0.000537086,0.678539952
DHBS 420,driving habites G,0.803219329,0.000540569,0.64516129
DHBS 420,QL22,-0.797264384,0.000637571,0.635630499
DHBS 422,QL18,0.722552173,0.003510572,0.522081642
DHBS 422,ql18r,-0.722552173,0.003510572,0.522081642
DHBS 425,DHGB126,0.925668144,2.07E-06,0.856861513
DHBS 425,N204,0.891472868,1.86E-05,0.794723875
DHBS 425,N220,0.801620146,0.000565366,0.642594859
DHBS 425,DHGO 320,0.801620146,0.000565366,0.642594859
DHBS 428,N228,-0.752994024,0.001879577,0.567
DHBS 428,MYDH 6,0.739509973,0.002504078,0.546875
DHBS 428,N220,0.729996395,0.003035665,0.532894737
DHBS 428,DHGO 320,0.729996395,0.003035665,0.532894737
DHBS 429,anxiety6,0.709220006,0.00450549,0.502993016
DHBS 431,BACK21,0.767355174,0.001357402,0.588833963
DHGB111,DHBS 420,0.844162289,0.000146521,0.712609971
DHGB111,driving habites E,0.841036782,8.55E-05,0.707342869
DHGB111,DHBS 411,0.714683472,0.004074145,0.510772465
DHGB12104,DHGB131,0.769025717,0.000805029,0.591400553
DHGB126,N204,0.925668144,2.07E-06,0.856861513
DHGB126,DHBS 425,0.925668144,2.07E-06,0.856861513
DHGB126,N220,0.847890865,0.000127787,0.718918919
DHGB126,DHGO 320,0.847890865,0.000127787,0.718918919
DHGB131,DHGB12104,0.769025717,0.000805029,0.591400553
DHGO 304,N2231,-0.839146392,0.000175176,0.704166667
DHGO 311,DHBS 420,-0.872130269,4.76E-05,0.760611205
DHGO 311,driving habites E,-0.823514622,0.000294831,0.678176333
DHGO 311,driving habites F,-0.76511881,0.00230779,0.585406793
DHGO 311,QL22,0.739627908,0.002497985,0.547049442
DHGO 311,driving habites G,-0.736788398,0.002647972,0.542857143
DHGO 313,BACK21,-0.746923515,0.002143244,0.557894737
DHGO 313,DHGO 315,0.740547393,0.002450884,0.548410442
DHGO 315,DHGO 313,0.740547393,0.002450884,0.548410442
DHGO 317,N2231,0.823367641,0.000296207,0.677934272
DHGO 319,N213,-0.782945736,0.00092865,0.613004026
DHGO 320,DHGB126,0.847890865,0.000127787,0.718918919
DHGO 320,N204,0.801620146,0.000565366,0.642594859
DHGO 320,DHBS 425,0.801620146,0.000565366,0.642594859
DHGO 320,MYDH 6,0.767771896,0.001344197,0.589473684
DHGO 320,DHBS 428,0.729996395,0.003035665,0.532894737
DHGO 320,anxiety8,-0.707733742,0.004628802,0.500887049
DHGO 326,DHBS 417,0.853491814,0.000103338,0.728448276
DHGO 326,BACK21,-0.811707703,0.000423145,0.658869396
DHGO 326,bign24r,-0.715626447,0.004003096,0.512121212
DHGO 326,bign24,0.715626447,0.004003096,0.512121212
DHGO 331,bign24,0.739058114,0.00252753,0.546206897
DHGO 331,bign24r,-0.739058114,0.00252753,0.546206897
DHGO 331,QL18,-0.72265318,0.003503759,0.522227619
DHGO 331,ql18r,0.72265318,0.003503759,0.522227619
DISCRIMINATION,anosmia,0.709772308,0.003034921,0.50377673
driving habites A,MOCA ATTENTION LETTERS,-0.884823497,2.62E-05,0.782912621
driving habites B,QL TOT,0.932224043,4.21E-07,0.869041666
driving habites B,MOCA VISUAL PERCEPTION,-0.75614577,0.001753226,0.571756425
driving habites C,QL TOT,0.931859201,4.35E-07,0.868361571
driving habites C,MOCA VISUAL PERCEPTION,-0.752854667,0.001885326,0.56679015
driving habites D,QL TOT,0.931598475,4.46E-07,0.867875719
driving habites D,MOCA VISUAL PERCEPTION,-0.754074791,0.001835462,0.56862879
driving habites E,DHBS 420,0.960382261,5.12E-08,0.922334087
driving habites E,DHGB111,0.841036782,8.55E-05,0.707342869
