var1,var2,r,pvalue,rsq
sleep3,MOCA LENG FLUENCY,-0.858778202,8.39E-05,0.7375
sleep3,bigc38,0.7197719,0.002482101,0.518071588
sleep7,sleep2,0.757919123,0.00106101,0.574441397
sleep7,SLEEP TOT,0.757490466,0.001072071,0.573791807
sleep8,sleep10,0.771153822,0.00076226,0.594678218
sleep8,anxiety tot,-0.752650545,0.001203554,0.566482843
sleep8,anxiety4,0.745355992,0.001426061,0.555555556
sleep8,anxiety4r,-0.745355992,0.001426061,0.555555556
sleep9,MOCA ATTENTION NUMBERS,-0.746611594,0.002157544,0.557428872
TRESHOLD,DHBS 413,0.71438307,0.004096985,0.510343171
